mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
419180269,MOTHER NET 2_99%,IND,india_mangalore_dec2025_jan2026,2025-12-16 05:00:00+00:00,2025-12-19 20:00:00+00:00,87.0,78,0.886,13.29436,74.60372,4.949,extended,open_water,Jamnagar (Sikka) marine terminal,1139.44,False,False,3,,False
419000274,OCEAN HARMONY,IND,india_mangalore_dec2025_jan2026,2025-12-24 14:00:00+00:00,2025-12-28 04:00:00+00:00,86.0,87,1.0,12.9354,74.81851,3.532,extended,open_water,Jamnagar (Sikka) marine terminal,1185.53,False,False,3,,False
664288000,SEYCHELLES PIONEER,SYC,india_mangalore_dec2025_jan2026,2025-12-24 19:00:00+00:00,2025-12-28 09:00:00+00:00,86.0,87,1.0,12.92989,74.80954,4.424,extended,open_water,Jamnagar (Sikka) marine terminal,1185.65,False,False,3,,False
353544000,BORETI,PAN,india_mangalore_dec2025_jan2026,2025-12-06 04:00:00+00:00,2025-12-09 17:00:00+00:00,85.0,86,1.0,12.93,74.81,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1185.66,False,False,3,,False
419472000,DESH RAKSHAK,IND,india_mangalore_dec2025_jan2026,2025-12-26 22:00:00+00:00,2025-12-30 11:00:00+00:00,85.0,85,0.988,12.984,74.61918,4.268,extended,open_water,Jamnagar (Sikka) marine terminal,1171.21,False,False,3,,False
414037000,GUO HAI LIAN 818,CHN,india_mangalore_dec2025_jan2026,2025-12-21 19:00:00+00:00,2025-12-25 07:00:00+00:00,84.0,85,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
419001655,PINE GAS,IND,india_mangalore_dec2025_jan2026,2025-12-14 06:00:00+00:00,2025-12-17 18:00:00+00:00,84.0,82,0.965,12.92,74.81,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.65,False,False,3,,False
314571000,OBE GRANDE,BRB,india_mangalore_dec2025_jan2026,2025-12-08 04:00:00+00:00,2025-12-11 15:00:00+00:00,83.0,84,1.0,12.98,74.6,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1170.72,False,False,3,,False
371651000,TAI SUCCESS,PAN,india_mangalore_dec2025_jan2026,2025-12-25 20:00:00+00:00,2025-12-29 07:00:00+00:00,83.0,84,1.0,12.96536,74.62,0.596,extended,open_water,Jamnagar (Sikka) marine terminal,1173.12,False,False,3,,False
419081116,SHALOOM NET 1-99%,IND,india_mangalore_dec2025_jan2026,2025-12-12 10:00:00+00:00,2025-12-15 21:00:00+00:00,83.0,63,0.75,13.44111,74.55587,3.557,extended,open_water,Jamnagar (Sikka) marine terminal,1122.52,False,False,3,,False
419322000,SAMUDRA SHAUDHIKAMA,IND,india_mangalore_dec2025_jan2026,2025-12-14 00:00:00+00:00,2025-12-17 11:00:00+00:00,83.0,78,0.929,12.92987,74.81962,2.392,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
563131300,MARITIME GUARDIAN,SGP,india_mangalore_dec2025_jan2026,2025-12-04 19:00:00+00:00,2025-12-08 06:00:00+00:00,83.0,84,1.0,12.96976,74.60012,2.445,extended,open_water,Jamnagar (Sikka) marine terminal,1171.75,False,False,3,,False
311001788,LISBON,BHS,india_mangalore_dec2025_jan2026,2025-12-08 21:00:00+00:00,2025-12-12 07:00:00+00:00,82.0,83,1.0,12.93361,74.81349,3.933,extended,open_water,Jamnagar (Sikka) marine terminal,1185.47,False,False,3,,False
419322000,SAMUDRA SHAUDHIKAMA,IND,india_mangalore_dec2025_jan2026,2025-12-23 01:00:00+00:00,2025-12-26 11:00:00+00:00,82.0,83,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
419678778,BETHAL NET 1(62%,IND,india_mangalore_dec2025_jan2026,2025-12-12 09:00:00+00:00,2025-12-15 19:00:00+00:00,82.0,64,0.771,13.22875,74.59797,3.58,extended,open_water,Jamnagar (Sikka) marine terminal,1145.71,False,False,3,,False
314571000,OBE GRANDE,BRB,india_mangalore_dec2025_jan2026,2025-12-12 04:00:00+00:00,2025-12-15 13:00:00+00:00,81.0,82,1.0,12.92988,74.82,1.098,extended,open_water,Jamnagar (Sikka) marine terminal,1186.15,False,False,3,,False
355091000,BUNGO PRINCESS,PAN,india_mangalore_dec2025_jan2026,2025-12-06 07:00:00+00:00,2025-12-09 16:00:00+00:00,81.0,82,1.0,12.93963,74.81963,3.883,extended,open_water,Jamnagar (Sikka) marine terminal,1185.16,False,False,3,,False
419322000,SAMUDRA SHAUDHIKAMA,IND,india_mangalore_dec2025_jan2026,2026-01-01 02:00:00+00:00,2026-01-04 11:00:00+00:00,81.0,82,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
